srcMac,dstMac,ethType,srcIp,dstIp,ipProto,srcPort,dstPort,priority, icmpType, icmpCode
<deviceMac>,<gatewayMac>,0x0800,*,192.168.1.1,17,*,53,1001,*,*
<deviceMac>,<gatewayMac>,0x0800,*,api.eu.xiaoyi.com,6,*,80,855,*,*
<deviceMac>,ff:ff:ff:ff:ff:ff,0x0800,*,*,17,*,32108,1300,*,*
<deviceMac>,<gatewayMac>,0x0800,*,*,17,*,32100,810,*,*
<deviceMac>,<gatewayMac>,0x0800,*,api.eu.xiaoyi.com,6,*,443,855,*,*
<gatewayMac>,<deviceMac>,0x0800,api.eu.xiaoyi.com,*,6,80,*,750,*,*
<gatewayMac>,<deviceMac>,0x0800,192.168.1.1,*,17,53,*,1001,*,*
<gatewayMac>,<deviceMac>,0x0800,192.168.1.1,*,17,67,*,1400,*,*
<gatewayMac>,<deviceMac>,0x0800,*,*,17,32100,*,710,*,*
<gatewayMac>,<deviceMac>,0x0800,api.eu.xiaoyi.com,*,6,443,*,750,*,*
