srcMac,dstMac,ethType,vlanId,srcIp,dstIp,ipProto,srcPort,dstPort,priority,icmpType,icmpCode,volumeTransmitted,packetCount
f4:f2:6d:57:79:8e,44:07:0b:e2:3f:f1,0x0800,*,192.168.1.1,*,17,67,*,1400,*,*,684,2
44:07:0b:e2:3f:f1,f4:f2:6d:57:79:8e,0x0800,*,*,192.168.1.1,17,*,67,1400,*,*,0,0
44:07:0b:e2:3f:f1,*,0x86dd,*,*,ff02:0:0:0:0:1:ff1b:9219,58,*,*,1300,*,*,0,0
44:07:0b:e2:3f:f1,*,0x86dd,*,*,ff02:0:0:0:0:0:0:2,58,*,*,1300,*,*,0,0
44:07:0b:e2:3f:f1,*,0x0800,*,*,224.0.0.251,17,*,5353,1300,*,*,31163,95
44:07:0b:e2:3f:f1,*,0x0800,*,*,224.0.0.22,2,*,*,1300,*,*,62,1
44:07:0b:e2:3f:f1,ff:ff:ff:ff:ff:ff,0x0800,*,*,255.255.255.255,17,*,67,1300,*,*,410,1
44:07:0b:e2:3f:f1,*,0x86dd,*,*,ff02:0:0:0:0:1:ffe2:3ff1,58,*,*,1300,*,*,78,1
44:07:0b:e2:3f:f1,*,0x86dd,*,*,ff02:0:0:0:0:0:0:16,0,*,*,1300,*,*,200,2
44:07:0b:e2:3f:f1,ff:ff:ff:ff:ff:ff,0x0006,*,*,*,*,*,*,1300,*,*,20,1
44:07:0b:e2:3f:f1,f4:f2:6d:57:79:8e,0x0800,*,*,8.8.8.8,1,*,*,1001,8,0,882,9
44:07:0b:e2:3f:f1,f4:f2:6d:57:79:8e,0x0800,*,*,192.168.1.1,1,*,*,1001,8,0,882,9
44:07:0b:e2:3f:f1,f4:f2:6d:57:79:8e,0x86dd,*,*,fe80:0:0:0:f6f2:6dff:fe57:798e,1,*,*,1001,135,0,0,0
44:07:0b:e2:3f:f1,f4:f2:6d:57:79:8e,0x86dd,*,*,fe80:0:0:0:f6f2:6dff:fe57:798e,1,*,*,1001,136,0,0,0
44:07:0b:e2:3f:f1,f4:f2:6d:57:79:8e,0x0800,*,*,time.google.com,17,*,123,1001,*,*,0,0
44:07:0b:e2:3f:f1,f4:f2:6d:57:79:8e,0x0800,*,*,8.8.8.8,17,*,53,1001,*,*,2454,32
f4:f2:6d:57:79:8e,44:07:0b:e2:3f:f1,0x86dd,*,*,*,58,*,*,1000,*,*,338,3
